title,score,inq,link,star
阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/,364463人评价
射雕英雄传之东成西就,8.7,百看不厌。 ,https://movie.douban.com/subject/1316510/,372088人评价
爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/,313566人评价
小森林 夏秋篇,9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/,213674人评价
甜蜜蜜,8.8,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/,298636人评价
请以你的名字呼唤我,8.8,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/,307383人评价
侧耳倾听,8.8,少女情怀总是诗。,https://movie.douban.com/subject/1297052/,243133人评价
驯龙高手,8.7,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/,419744人评价
红辣椒,8.9,梦的勾结。,https://movie.douban.com/subject/1865703/,200571人评价
倩女幽魂,8.7,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/,382288人评价
恐怖直播,8.7,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/,334770人评价
风之谷,8.8,动画片的圣经。,https://movie.douban.com/subject/1291585/,238058人评价
超脱,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/,246130人评价
爱在日落黄昏时,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/,273793人评价
菊次郎的夏天,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/,268615人评价
上帝之城,8.9,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/,195435人评价
小森林 冬春篇,9,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/,186166人评价
哈利·波特与死亡圣器(下),8.7,10年的完美句点。,https://movie.douban.com/subject/3011235/,391953人评价
幸福终点站,8.7,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/,299782人评价
杀人回忆,8.7,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/,294948人评价
7号房的礼物,8.8,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/,261542人评价
借东西的小人阿莉埃蒂,8.7,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/,295474人评价
蝙蝠侠：黑暗骑士崛起,8.7,诺兰就是保证。,https://movie.douban.com/subject/3395373/,400099人评价
神偷奶爸,8.5,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/,547972人评价
萤火之森,8.8,触不到的恋人。,https://movie.douban.com/subject/5989818/,245730人评价
唐伯虎点秋香,8.5,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/,517156人评价
超能陆战队,8.6,Balalala~~~,https://movie.douban.com/subject/11026735/,538507人评价
何以为家,9,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/,230282人评价
怪兽电力公司,8.6,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/,347908人评价
无人知晓,9.1,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/,123723人评价
岁月神偷,8.7,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/,384876人评价
电锯惊魂,8.7,真相就在眼前。,https://movie.douban.com/subject/1417598/,275079人评价
七武士,9.2,时代悲歌。,https://movie.douban.com/subject/1295399/,105546人评价
谍影重重3,8.8,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/,245902人评价
真爱至上,8.6,爱，是个动词。,https://movie.douban.com/subject/1292401/,419606人评价
疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/,499509人评价
喜宴,8.9,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/,188774人评价
英雄本色,8.7,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/,263043人评价
东邪西毒,8.6,电影诗。,https://movie.douban.com/subject/1292328/,349687人评价
血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/,453705人评价
萤火虫之墓,8.7,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/,262915人评价
贫民窟的百万富翁,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/,486842人评价
黑天鹅,8.5,黑暗之美。,https://movie.douban.com/subject/1978709/,534783人评价
记忆碎片,8.6,一个针管引发的血案。,https://movie.douban.com/subject/1304447/,363271人评价
傲慢与偏见,8.5,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/,413614人评价
时空恋旅人,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/,290386人评价
心迷宫,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/,263966人评价
海蒂和爷爷,9.1,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/,116839人评价
纵横四海,8.8,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/,216549人评价
荒蛮故事,8.8,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/,213361人评价
教父3,8.8,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/,183979人评价
雨人,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/,260798人评价
达拉斯买家俱乐部,8.7,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/,255757人评价
完美的世界,9.1,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/,116711人评价
玩具总动员3,8.8,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/,257475人评价
花样年华,8.6,偷情本没有这样美。,https://movie.douban.com/subject/1291557/,326197人评价
卢旺达饭店,8.9,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/,156790人评价
海边的曼彻斯特,8.6,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/,285015人评价
被解救的姜戈,8.6,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/,344036人评价
三块广告牌,8.7,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/,472293人评价
恋恋笔记本,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/,373549人评价
你看起来好像很好吃,8.8,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/,195261人评价
海洋,9,大海啊，不全是水。,https://movie.douban.com/subject/3443389/,114569人评价
虎口脱险,8.9,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/,136266人评价
你的名字。,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/,717779人评价
头脑特工队,8.7,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/,325535人评价
二十二,8.7,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/,160478人评价
无敌破坏王,8.7,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/,293299人评价
我是山姆,8.9,爱并不需要智商 。,https://movie.douban.com/subject/1306861/,146510人评价
